"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.0323027806423701,0.00836686590493909,-3.86079817812083,0.000140089331248299
"m1",0.0626308573204682,0.00322743010819796,19.405798180224,6.2689617818644e-54
"s1",-0.056995195025063,0.00425783231075805,-13.3859651731836,5.43887790815199e-32
"l1",0.931134750402733,0.00774037164016042,120.295871269488,5.08725292022133e-245
