"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0,0.003,0,0.999999999999988
"m_st",0.078,0.004,19.406,6.26896696985769e-54
"s_st",-0.991,0.004,-248.247,0
"l_st",0.326,0.003,120.296,5.08726292873861e-245
