"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0,0.008,0,0.999999999999991
"m_st",0.227,0.012,19.406,6.2689617818619e-54
"s_st",-0.155,0.012,-13.386,5.43887790814989e-32
"l_st",0.949,0.008,120.296,5.08725292022017e-245
