UAL;Age;Injection;Hydrolysis;Station;specimen_no;depth (cm);max. depth (cm);5 cm group (cm);taxon;Outlier;Contamination;Replicate;ageMedian;ageYng;ageOld;Asp_DL;Glu_DL;DL_Ser;DL_Ala;DL_Val;DL_Phe;DL_Ile;DL_Leu;L-Ser/     L-Asp;[Asp];[Glu];[Ser];[Ala];[Val];[Phe];[Ile];[Leu];[total];L Asp;D Asp;L Glu;D Glu;L Ser;D Ser;Gly;L Ala;L hArg;D Ala;L Val;D Val;L Phe;L Ile;D Phe;L Leu;D aIle;D Leu;Valve
11971;240;2ul10;6;Pan M28;Pan M28-30-35-023;30-35;35;35;Corbula gibba;;;;NA;NA;NA;0.126;0.035;0.162;0.070;0.010;0.024;0.017;0.015;0.4;2704;1612;1141;1043;787;317;368;545;8517;2650;334;1718;61;1083;176;1249;1076;221;75;860;9;342;399;8;592;7;9;right
11972;233;2ul10;6;Pan M28;Pan M28-30-35-024;30-35;35;35;Corbula gibba;;;;NA;NA;NA;0.125;0.033;0.177;0.050;0.022;0.042;0.022;0.120;0.4;2581;1518;1058;1005;685;272;313;474;7906;2874;359;1841;61;1126;199;1354;1199;251;60;840;18;327;383;14;530;8;64;right
11973;198;2ul10;6;Pan M28;Pan M28-30-35-025;30-35;35;35;Corbula gibba;;;;NA;NA;NA;0.119;0.026;0.145;0.054;0.010;0.018;0.020;0.011;0.4;4108;2309;1571;1343;945;302;446;630;11653;4855;578;2976;78;1814;263;2011;1685;265;90;1237;12;393;578;7;824;12;9;right
11974;142;2ul10;6;Pan M28;Pan M28-30-35-026;30-35;35;35;Corbula gibba;;;;NA;NA;NA;0.108;0.029;0.163;0.035;0.009;0.016;0.008;0.040;0.5;1449;923;688;821;455;207;202;319;5066;1540;166;1057;30;696;113;855;934;235;33;531;5;240;236;4;361;2;14;right
11975;203;2ul10;6;Pan M28;Pan M28-30-35-027;30-35;35;35;Corbula gibba;;;;NA;NA;NA;0.120;0.038;0.180;0.052;0.010;0.028;0.014;0.191;0.4;1350;791;557;644;353;171;164;289;4319;1300;156;821;32;509;92;690;660;216;34;377;4;180;175;5;262;3;50;right
11976;108;2ul10;6;Pan M28;Pan M28-30-35-028;30-35;35;35;Corbula gibba;;;;NA;NA;NA;0.100;0.026;0.097;0.044;0.008;0.019;0.013;0.016;0.4;5160;2462;2199;2029;2180;701;1166;1169;17065;6060;603;3099;80;2589;251;7678;2510;258;111;2793;22;888;1487;17;1486;19;23;left
11977;156;2ul10;6;Pan M28;Pan M28-30-35-029;30-35;35;35;Corbula gibba;;;;NA;NA;NA;0.111;0.033;0.157;0.029;0.007;0.030;0.012;0.025;0.6;3185;2119;2136;2756;1389;706;547;842;13680;14026;1551;10030;331;9030;1416;12844;13104;978;375;6741;50;3351;2643;99;4013;31;102;left
11978;51;2ul10;6;Pan M28;Pan M28-30-35-030;30-35;35;35;Corbula gibba;;;;NA;NA;NA;0.082;0.032;0.081;0.030;0.009;0.048;0.010;0.025;0.4;2738;1314;1156;913;705;311;385;509;8031;12005;989;6041;195;5073;413;6809;4204;949;128;3316;30;1410;1810;68;2359;18;59;left
11979;280;2ul10;6;Pan M28;Pan M28-45-50-001;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.132;0.034;0.167;0.061;0.009;0.091;0.006;0.021;0.4;3971;2227;1688;1465;1232;416;556;765;12321;17216;2277;10579;356;7101;1185;10273;6781;982;411;5996;53;1871;2714;171;3681;16;76;right
11980;252;2ul10;6;Pan M28;Pan M28-45-50-002;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.128;0.030;0.169;0.043;0.010;0.048;0.009;0.025;0.4;4147;2426;1866;1727;1617;522;768;956;14028;18561;2382;11898;353;8060;1362;15267;8359;1010;360;8085;78;2514;3844;120;4711;33;118;right
11981;233;2ul10;6;Pan M28;Pan M28-45-50-003;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.125;0.035;0.183;0.052;0.011;0.047;0.015;0.030;0.4;2968;1792;1311;1338;952;391;438;660;9849;12951;1624;8507;294;5438;997;7196;6243;982;326;4624;49;1836;2117;86;3147;31;94;right
11982;120;2ul10;6;Pan M28;Pan M28-45-50-004;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.103;0.029;0.134;0.036;0.008;0.047;0.035;0.062;0.4;6005;3107;2610;2413;2745;716;1219;1482;20298;5820;600;3229;93;2461;330;6226;2490;214;90;2912;22;731;1258;34;1493;45;92;right
11983;192;2ul10;6;Pan M28;Pan M28-45-50-005;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.118;0.027;0.154;0.049;0.010;0.022;0.010;0.008;0.4;4497;2673;1845;1569;1238;452;623;873;13770;4786;565;3098;83;1903;292;2950;1780;238;87;1459;15;526;733;12;1030;8;8;right
11984;NA;2ul10;6;Pan M28;Pan M28-45-50-006;45-50;50;50;Corbula gibba;outlier;High L-Ser/L-Asp;;NA;NA;NA;0.079;0.021;0.040;0.030;0.010;0.038;0.010;0.043;1.1;4065;4349;4179;2624;2043;742;911;1897;20811;4182;330;4728;99;4460;179;2226;2828;222;85;2245;23;794;1001;30;2019;10;88;right
11985;209;2ul10;6;Pan M28;Pan M28-45-50-007;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.121;0.030;0.158;0.044;0.009;0.019;0.011;0.010;0.4;4383;2241;1700;1637;2008;415;833;885;14102;7410;900;4126;123;2783;440;7321;2975;379;129;3775;33;773;1563;15;1661;17;17;right
11986;20;2ul10;6;Pan M28;Pan M28-45-50-008;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.066;0.022;0.058;0.037;0.007;0.012;0.006;0.006;0.4;4432;2173;1764;1769;2415;565;1089;1067;15273;5045;331;2579;57;2022;117;6266;2070;243;76;2908;22;678;1312;8;1287;9;8;right
11987;120;2ul10;6;Pan M28;Pan M28-45-50-009;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.103;0.039;0.113;0.050;0.016;0.017;0.010;0.171;0.4;1164;666;487;558;358;151;158;246;3788;1097;113;666;26;455;51;715;552;208;27;366;6;155;163;3;219;2;37;right
11988;18;2ul10;6;Pan M28;Pan M28-45-50-010;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.064;0.023;0.062;0.037;0.007;0.021;0.012;0.015;0.4;5026;2463;2116;1903;2511;618;1148;1148;16934;5651;362;2881;66;2385;148;6528;2196;239;80;2983;22;724;1358;16;1353;16;21;right
11989;70;2ul10;6;Pan M28;Pan M28-45-50-011;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.089;0.028;0.065;0.040;0.009;0.013;0.018;0.011;0.4;5378;2569;2231;2249;2763;733;1336;1358;18617;5729;509;2900;80;2430;158;7098;2509;232;100;3176;29;840;1521;11;1559;28;17;right
11990;233;2ul10;6;Pan M28;Pan M28-45-50-012;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.125;0.025;0.152;0.046;0.007;0.020;0.009;0.012;0.4;5944;3318;2451;1845;1530;534;810;1053;17484;6203;775;3799;96;2497;380;3514;2071;235;95;1783;13;615;943;12;1221;8;15;right
11991;380;2ul10;6;Pan M28;Pan M28-45-50-013;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.145;0.040;0.171;0.043;0.025;0.023;0.034;0.112;0.5;4321;2533;2082;2465;1625;790;836;1219;15872;4047;586;2610;106;1906;326;3810;2535;214;108;1699;43;828;867;19;1176;29;132;right
11992;171;2ul10;6;Pan M28;Pan M28-45-50-014;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.114;0.028;0.137;0.045;0.011;0.031;0.013;0.053;0.4;6240;3132;2260;1934;2224;509;934;1133;18367;5907;676;3214;90;2097;288;4506;1953;211;88;2321;25;521;972;16;1136;13;60;right
11993;259;2ul10;6;Pan M28;Pan M28-45-50-015;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.129;0.034;0.195;0.043;0.013;0.052;0.018;0.136;0.4;3409;1966;1337;1355;876;335;383;638;10298;3459;447;2179;74;1281;250;1371;1488;229;65;991;13;364;431;19;643;8;87;right
11994;28;2ul10;6;Pan M28;Pan M28-45-50-016;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.071;0.022;0.070;0.041;0.008;0.023;0.013;0.005;0.5;3481;1932;1590;1509;1490;492;700;778;11973;3652;259;2123;47;1671;116;3339;1629;225;67;1660;14;541;776;12;870;10;4;right
11995;252;2ul10;6;Pan M28;Pan M28-45-50-017;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.128;0.031;0.180;0.046;0.019;0.045;0.035;0.018;0.4;3072;1830;1304;1210;828;331;396;564;9535;3163;404;2061;64;1283;231;1563;1343;232;62;943;18;368;444;17;644;16;11;right
11996;108;2ul10;6;Pan M28;Pan M28-45-50-018;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.100;0.029;0.132;0.040;0.011;0.022;0.013;0.055;0.4;4697;2264;1755;1835;2290;537;950;1102;15431;5024;500;2588;75;1822;241;5524;2076;235;83;2665;29;618;1103;14;1228;14;67;right
11997;37;2ul10;6;Pan M28;Pan M28-45-50-019;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.076;0.023;0.058;0.036;0.009;0.020;0.009;0.023;0.4;4553;2222;1927;1858;2667;635;1173;1119;16154;4440;339;2280;53;1911;112;5948;1883;210;67;2773;26;654;1220;13;1148;11;26;right
12003;146;2ul10;6;Pan M28;Pan M28-45-50-025;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.109;0.033;0.150;0.046;0.006;0.021;0.014;0.012;0.4;2842;1562;1304;1220;813;353;400;558;9051;2764;301;1630;54;1222;184;1522;1257;216;58;871;5;373;426;8;594;6;7;left
12004;NA;2ul10;6;Pan M28;Pan M28-45-50-026;45-50;50;50;Corbula gibba;outlier;outlying DL Asp  vs Serine, Asp DL-Glu DL;;NA;NA;NA;0.151;0.026;0.102;0.045;0.023;0.016;0.015;0.021;0.6;11129;5855;6837;7261;4876;2564;3604;4092;46219;10703;1618;6315;167;6868;701;34634;7688;221;350;5276;122;2793;3930;45;4435;60;95;left
12599;31;2ul10;6;Pan M28;Pan M28-45-50-031;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.073;0.024;0.054;0.031;0.007;0.010;0.011;0.066;0.4;6432;2730;2362;3072;3305;769;1462;1539;21670;7499.2;550.5;3336.8;79.7;2805.6;150.6;9717.4;3726.8;250.3;117.3;4107.9;27.9;953;1810.4;10;1805.6;19.1;120;left
12600;192;2ul10;6;Pan M28;Pan M28-45-50-032;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.118;0.029;0.145;0.034;0.009;0.020;0.017;0.089;0.5;2679;1683;1255;1469;939;431;485;718;9660;3140.7;369.2;2142.9;61.8;1436.3;208.3;2283.2;1861.1;262;63.8;1219.6;10.7;553.9;624.2;10.9;863.8;10.6;77.1;left
12601;252;2ul10;6;Pan M28;Pan M28-45-50-033;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.128;0.030;0.174;0.040;0.010;0.022;0.016;0.046;0.4;3281;2132;1466;1522;1005;412;512;765;11093;3422.2;439.3;2435.4;73.4;1469.5;255.7;2174.4;1722;235.4;68.9;1171.7;11.2;473.9;592.8;10.6;861.1;9.3;39.4;left
12602;124;2ul10;6;Pan M28;Pan M28-45-50-034;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.104;0.029;0.091;0.036;0.009;0.027;0.019;0.056;0.4;7888;3423;2953;3629;3201;955;1556;1738;25343;8925.4;927.2;4154.5;120.7;3380.2;308.7;9814.6;4376.8;249.8;155.6;3962.1;35.7;1161.3;1907.6;31.4;2055.1;35.3;115.9;left
12603;280;2ul10;6;Pan M28;Pan M28-45-50-035;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.132;0.031;0.152;0.038;0.008;0.025;0.017;0.067;0.4;3835;1870;1655;2176;1764;511;748;901;13461;4673.8;618.3;2502.7;78.5;1982.8;300.7;4201.4;2892.2;276;111.3;2415.4;19.4;687.5;1014.3;17.4;1165.6;17.5;78.2;left
12604;397;2ul10;6;Pan M28;Pan M28-45-50-036;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.147;0.028;0.155;0.030;0.010;0.018;0.015;0.077;0.4;4108;2155;1738;2096;1221;543;592;932;13384;5214.6;768.6;3055;84.4;2191.8;339.6;3002.7;2963.1;291.3;89.2;1760.6;17.2;777.5;849.2;13.9;1259.8;12.4;97.5;left
12605;316;2ul10;6;Pan M28;Pan M28-45-50-037;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.137;0.032;0.139;0.033;0.009;0.017;0.014;0.103;0.4;3930;1951;1561;2414;1703;490;799;926;13773;4187.1;572;2288.5;73.6;1660.2;230.4;4684.5;2828.5;242.2;94.5;2044.5;17.6;584.1;953.7;9.8;1017;13.5;104.4;left
12606;156;2ul10;6;Pan M28;Pan M28-45-50-038;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.111;0.031;0.111;0.042;0.009;0.017;0.019;0.046;0.4;6662;3307;2739;2996;2836;865;1373;1597;22375;7444.5;829.1;3986.1;121.8;3060.7;341.1;8344.9;3571;248.4;150.1;3491;31.3;1056.9;1673.6;17.5;1895.9;31.6;87.7;left
12607;31;2ul10;6;Pan M28;Pan M28-45-50-039;45-50;50;50;Corbula gibba;;;;NA;NA;NA;0.073;0.023;0.056;0.040;0.007;0.011;0.012;0.035;0.5;10740;5169;4773;4417;6150;1423;2674;2734;38079;11784.2;856.3;5945.2;138.9;5318.7;299.7;17840.2;4997;235.4;201.4;7186;52.6;1657.1;3110.7;17.5;3110;36.4;107.5;left
12573;171;2ul10;6;Pan M28;Pan M28-60-65-01;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.114;0.030;0.129;0.040;0.008;0.019;0.021;0.080;0.6;4409;2440;2506;2739;2149;781;894;1147;17066;4566.1;520.2;2731.6;83;2559.9;331;6032.6;3039.1;230.7;120.4;2458.2;20.3;883.6;1011;17.1;1225.2;20.8;98.3;left
12574;161;2ul10;6;Pan M28;Pan M28-60-65-02;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.112;0.024;0.090;0.045;0.009;0.018;0.012;0.042;0.4;7170;3420;2851;2959;3021;933;1515;1668;23537;8126.9;910.9;4211.3;99.8;3297;297.3;9376.4;3567.2;252.1;162.3;3775.2;32.4;1155;1887;21.2;2016.5;22.5;85.5;left
12575;203;2ul10;6;Pan M28;Pan M28-60-65-03;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.120;0.029;0.146;0.055;0.008;0.022;0.012;0.066;0.3;5160;2456;1774;1631;2210;468;891;1011;15600;5708.9;682.3;2954.4;87;1917.1;279.7;5756.7;1915.1;247.7;104.8;2714.3;22.8;566.9;1090.1;12.6;1174.3;13.5;77.3;right
12576;221;2ul10;6;Pan M28;Pan M28-60-65-04;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.123;0.031;0.144;0.070;0.009;0.042;0.012;0.040;0.4;4008;2041;1548;1437;1793;450;775;901;12952;5653.3;693;3134.9;97.1;2141.5;309.4;5193;2125;316.7;149.8;2812.5;26.2;683.1;1212.8;29;1371.8;15;55.5;right
12577;89;2ul10;6;Pan M28;Pan M28-60-65-05;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.095;0.024;0.138;0.013;0.010;0.021;0.054;0.103;0.4;3891;1588;1673;2474;840;391;333;670;11861;4411.3;417.6;1925;45.9;1823.8;252.4;4851;3032.1;248.2;38.6;1032.4;10.3;475.1;392;10.1;754.3;21.3;77.7;left
12578;181;2ul10;6;Pan M28;Pan M28-60-65-06;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.116;0.025;0.091;0.036;0.010;0.030;0.014;0.044;0.4;7363;3318;3094;2975;3340;1027;1473;1796;24385;8564.9;996;4202.8;106.2;3682.2;335.3;10386.7;3729.4;259.7;133.2;4293.3;43.2;1294.9;1886.2;39;2233.1;25.9;98.6;left
12579;227;2ul10;6;Pan M28;Pan M28-60-65-07;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.124;0.035;0.160;0.037;0.011;0.047;0.021;0.135;0.3;3160;1540;1139;1738;1209;331;492;636;10244;3344;413.1;1768.6;62.2;1167.7;186.4;2507.6;1992.8;237.8;73.8;1421.2;16.3;375.3;572.4;17.8;666.6;12.3;89.8;right
12580;192;2ul10;6;Pan M28;Pan M28-60-65-08;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.118;0.029;0.145;0.052;0.012;0.019;0.016;0.094;0.4;3831;2398;1533;1493;974;412;498;759;11897;6303.7;746.6;4290.1;122.7;2464.6;357.1;2387.3;2613.1;368.1;135.1;1772;20.6;743.3;901.9;14.3;1276.9;14.6;119.4;right
12581;323;2ul10;6;Pan M28;Pan M28-60-65-09;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.138;0.030;0.189;0.056;0.010;0.028;0.014;0.081;0.4;2634;1568;1023;1039;647;227;289;456;7884;2787.3;383.8;1833.6;54.5;1036.2;195.5;1275.5;1185.4;240.8;65.9;771.8;7.6;266;343.2;7.4;508.4;4.8;41;right
12582;331;2ul10;6;Pan M28;Pan M28-60-65-10;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.139;0.036;0.202;0.038;0.011;0.025;0.016;0.103;0.5;3253;1949;1549;2188;1081;420;428;717;11586;3402;473.6;2241.8;80.9;1535.7;310.3;2150.4;2511.5;238.3;95.6;1274.4;14.2;488.6;501.6;12;774.9;8;80;right
12583r;112;2ul10;6;Pan M28;Pan M28-60-65-11;60-65;65;65;Corbula gibba;;;average of replicates;NA;NA;NA;0.101;0.027;0.108;0.044;0.009;0.022;0.013;0.078;0.397;4299.881;1971.756;1715.837;2078.254;2041.640;552.888;784.439;1001.592;14446.287;4757.900;481.550;2339.350;63.300;1886.850;203.900;4359.950;2429.650;243.700;105.450;2464.850;22.800;658.900;943.900;14.750;1131.800;11.900;88.800;right
12584;215;2ul10;6;Pan M28;Pan M28-60-65-12;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.122;0.032;0.164;0.067;0.009;0.026;0.017;0.093;0.3;3177;1606;1088;1049;1226;295;493;629;9562;3394;415.2;1865.5;60.3;1120.7;183.8;2716.9;1177.8;239.8;79.4;1457.1;12.7;344.6;581.1;9;689.9;9.8;64;right
12585;323;2ul10;6;Pan M28;Pan M28-60-65-13;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.138;0.031;0.195;0.048;0.010;0.029;0.014;0.047;0.4;3121;1790;1210;1283;859;279;397;538;9477;3233.4;444.8;2046.6;62.6;1192.9;233;1581.8;1442.9;235.7;69.7;1002.2;10.1;319.4;460.8;9.2;605.9;6.5;28.3;right
12586;156;2ul10;6;Pan M28;Pan M28-60-65-14;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.111;0.034;0.140;0.063;0.010;0.030;0.011;0.071;0.4;2798;1435;1132;1025;1304;354;553;697;9299;2987.9;330.7;1646.7;55.5;1178;165;3212.2;1144.4;237.2;71.7;1531.4;15.6;407.3;648.3;12.3;771.5;7.3;54.6;right
12587;203;2ul10;6;Pan M28;Pan M28-60-65-15;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.120;0.028;0.143;0.044;0.008;0.019;0.014;0.074;0.4;5969;2893;2153;2069;2443;513;1003;1203;18246;6247.4;751.8;3300;91.9;2207.9;316.4;5875.7;2322.6;234.5;103.1;2842.2;22.2;590.3;1160.1;11.1;1313.7;16;96.9;right
12588;273;2ul10;6;Pan M28;Pan M28-60-65-16;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.131;0.026;0.171;0.050;0.009;0.021;0.013;0.083;0.4;5047;2839;1993;1578;1169;370;550;818;14364;5147.1;672.2;3189.2;84.4;1962.2;335.5;2045.9;1732.9;230.6;86.7;1336.9;11.4;417.2;625.7;8.9;870.8;8.2;72.3;right
12589;294;2ul10;6;Pan M28;Pan M28-60-65-17;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.134;0.034;0.184;0.044;0.010;0.044;0.022;0.101;0.4;2223;1235;856;1129;783;226;323;440;7214;2517.7;336.3;1533.7;52.3;928.2;170.4;1971.6;1387.8;256.8;61.7;994.8;10.4;278.2;406.2;12.3;512.7;8.9;51.8;right
12590;203;2ul10;6;Pan M28;Pan M28-60-65-18;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.120;0.026;0.167;0.050;0.009;0.022;0.012;0.055;0.4;2495;1473;1022;963;641;232;298;439;7563;2629.3;315.3;1694.2;44;1033.4;172.1;1042.9;1083.1;236;53.7;748.9;6.9;268.1;347.3;6;490.6;4;27;right
12591;355;2ul10;6;Pan M28;Pan M28-60-65-19;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.142;0.032;0.195;0.057;0.012;0.035;0.016;0.057;0.4;1745;971;701;729;453;171;196;302;5266;1939;275.8;1194.3;37.8;744.6;145.3;964.8;876.3;253.9;49.7;567.8;6.9;209.3;244.4;7.3;362.7;3.9;20.5;right
12592;133;2ul10;6;Pan M28;Pan M28-60-65-20;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.106;0.027;0.121;0.047;0.010;0.022;0.014;0.064;0.3;4638;1974;1594;1750;2315;493;894;1009;14666;5457.8;578.3;2500.3;68.3;1850.2;223.9;7693.3;2175.9;260.3;101.2;2983.9;29.6;628.1;1146.7;13.9;1233.7;16.5;79.4;left
12593;104;2ul10;6;Pan M28;Pan M28-60-65-21;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.099;0.028;0.112;0.047;0.009;0.020;0.011;0.064;0.3;6791;2778;2340;2231;3537;733;1344;1529;21284;7781.8;767.6;3402.9;94.2;2649.6;296.8;10930.4;2683.9;251.8;125.3;4415.2;38.3;905.4;1674;17.8;1810.3;18.4;115.1;left
12594;108;2ul10;6;Pan M28;Pan M28-60-65-22;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.100;0.026;0.067;0.047;0.007;0.022;0.011;0.034;0.4;7792;2810;2660;2737;5135;775;2019;1905;25833;10033.9;1007.9;3882.3;99.6;3531.4;237.2;21136.4;3703;283.4;175;7226.1;50.6;1074.9;2830.9;23.7;2611.1;30.5;87.7;left
12595;70;2ul10;6;Pan M28;Pan M28-60-65-23;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.089;0.028;0.102;0.058;0.007;0.016;0.013;0.069;0.4;5894;2535;2239;2231;2908;759;1225;1445;19235;6803.4;608.4;3099.9;88.2;2555;260;9718.9;2652;251.5;152.9;3632.2;24.6;939.5;1520.2;14.6;1700.8;20;116.7;left
12596;227;2ul10;6;Pan M28;Pan M28-60-65-24;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.124;0.030;0.162;0.056;0.009;0.024;0.016;0.105;0.4;3381;1867;1460;1443;1269;419;582;757;11179;3557.5;440.9;2144.3;63.3;1485.4;240.9;2639.9;1616.4;236.5;90;1487.2;13.3;484.3;678.1;11.5;810.5;10.6;85.2;left
12597;161;2ul10;6;Pan M28;Pan M28-60-65-25;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.112;0.027;0.120;0.043;0.009;0.030;0.012;0.050;0.3;5315;2374;1810;1725;2776;470;1074;1180;16724;6190.1;693.2;2993.8;80.5;2092.2;251.3;7998.3;2140.9;259;92.8;3562.6;31.7;591.3;1373.7;17.7;1455;17.1;73.3;double
12598;42;2ul10;6;Pan M28;Pan M28-60-65-26;60-65;65;65;Corbula gibba;;;;NA;NA;NA;0.078;0.023;0.056;0.031;0.007;0.011;0.010;0.039;0.4;7787;3708;3051;3244;4451;878;1871;1861;26850;8815.7;684;4421.7;101.5;3524.9;197;12027.1;3839.9;244;118.1;5392.4;37.8;1059.2;2260.9;12.1;2185.7;22.3;84.4;double
12009;NA;2ul10;6;Pan M28;Pan M28-65-70-001;65-70;70;70;Corbula gibba;outlier;Asp DL-Glu DL;;NA;NA;NA;0.140;0.057;0.132;0.052;0.009;0.018;0.020;0.018;0.3;4537;1830;1407;1540;992;509;579;693;12088;4481;626;1949;111;1399;185;3312;1647;225;86;1107;10;563;639;10;766;13;14;right
12030;221;2ul10;6;Pan M28;Pan M28-65-70-022;65-70;70;70;Corbula gibba;;;;NA;NA;NA;0.123;0.033;0.180;0.056;0.007;0.030;0.012;0.012;0.4;2364;1376;1014;1050;805;295;394;498;7796;2295;282;1452;48;937;169;1924;1083;218;61;871;7;313;424;9;537;5;6;left
12031;124;2ul10;6;Pan M28;Pan M28-65-70-023;65-70;70;70;Corbula gibba;;;;NA;NA;NA;0.104;0.027;0.117;0.042;0.008;0.012;0.007;0.013;0.5;4072;2428;2058;1990;1322;732;791;1045;14440;4070;424;2609;70;2034;237;4346;2108;221;89;1447;12;798;867;10;1139;6;15;left
12038;209;2ul10;6;Pan M28;Pan M28-65-70-030;65-70;70;70;Corbula gibba;;;;NA;NA;NA;0.121;0.026;0.122;0.047;0.009;0.015;0.020;0.024;0.4;6251;3442;2502;2055;1535;526;778;1024;18114;6265;761;3770;99;2506;306;2861;2206;225;104;1710;16;582;858;9;1124;17;27;double
12771;39;2ul10;6;Pan M28;Pan M28-6-8 01;6-8;8;8;Corbula gibba;;;average of replicates;NA;NA;NA;0.077;0.034;0.065;0.043;0.014;0.022;0.014;0.043;0.387;2865.682;1343.038;1097.624;1103.027;775.519;373.821;448.207;545.899;8552.817;3136.100;242.600;1531.150;52.500;1214.750;79.250;1812.850;1247.500;235.800;53.250;902.200;13.000;431.500;521.600;9.500;617.300;7.300;26.700;right
12772;70;2ul10;6;Pan M28;Pan M28-6-8 02;6-8;8;8;Corbula gibba;;;;NA;NA;NA;0.089;0.029;0.085;0.040;0.019;0.019;0.014;0.111;0.4;2800;1486;1149;1245;892;420;478;623;9093;3112;276;1747;51;1281;109;1790;1449;242;57;1060;20;499;570;9;679;8;75;right
12773;39;2ul10;6;Pan M28;Pan M28-6-8 03;6-8;8;8;Corbula gibba;;;;NA;NA;NA;0.077;0.027;0.081;0.029;0.013;0.008;0.014;0.064;0.5;8427;4899;3875;3618;3801;1245;1917;2272;30054;8986;688;5478;146;4116;332;8174;4037;230;117;4308;55;1418;2170;12;2450;31;158;right
12774;33;2ul10;6;Pan M28;Pan M28-6-8 04;6-8;8;8;Corbula gibba;;;;NA;NA;NA;0.074;0.023;0.067;0.032;0.017;0.022;0.025;0.135;0.4;4800;2675;2075;1896;1700;565;848;1043;15603;4923;367;2881;67;2143;144;3154;2024;220;65;1843;31;609;911;14;1013;23;136;right
12775;28;2ul10;6;Pan M28;Pan M28-6-8 05;6-8;8;8;Corbula gibba;;;;NA;NA;NA;0.071;0.020;0.067;0.041;0.014;0.007;0.019;0.108;0.4;6443;3425;2522;1968;2185;609;1041;1296;19488;6650;473;3712;74;2613;176;3819;2090;221;86;2383;32;669;1129;5;1293;22;140;right
12776;67;2ul10;6;Pan M28;Pan M28-6-8 06;6-8;8;8;Corbula gibba;;;;NA;NA;NA;0.088;0.024;0.092;0.033;0.012;0.012;0.017;0.076;0.4;5471;2777;2102;1883;2023;515;888;1146;16804;5084;449;2743;66;1947;179;2817;1844;202;60;2022;24;515;883;6;1077;15;82;right
12777;37;2ul10;6;Pan M28;Pan M28-6-8 07;6-8;8;8;Corbula gibba;;;;NA;NA;NA;0.076;0.021;0.084;0.033;0.019;0.004;0.013;0.107;0.4;4261;2525;1676;1352;1133;390;581;838;12756;4169;317;2603;56;1628;137;1612;1378;211;46;1171;22;409;604;2;797;8;85;right
12778;22;2ul10;6;Pan M28;Pan M28-6-8 08;6-8;8;8;Corbula gibba;;;;NA;NA;NA;0.067;0.024;0.060;0.033;0.013;0.007;0.014;0.081;0.4;8772;4673;3454;2782;3288;977;1713;1943;27603;8027;539;4456;107;3183;190;5415;2630;195;87;3169;43;947;1650;7;1755;23;143;right
